13.087: [GC 16632K->248K(50688K), 0.0010880 secs]
13.175: [GC 16632K->248K(50688K), 0.0012470 secs]
13.263: [GC 16632K->248K(50688K), 0.0013190 secs]
13.351: [GC 16632K->248K(50688K), 0.0010720 secs]
13.438: [GC 16632K->248K(50688K), 0.0007270 secs]
13.531: [GC 16632K->248K(50688K), 0.0006980 secs]
13.617: [GC 16632K->248K(50688K), 0.0006110 secs]
13.704: [GC 16632K->248K(50688K), 0.0006980 secs]
13.791: [GC 16632K->248K(50688K), 0.0019710 secs]
13.884: [GC 16632K->248K(50688K), 0.0011730 secs]
13.971: [GC 16632K->248K(50688K), 0.0012750 secs]
14.067: [GC 16632K->248K(50688K), 0.0010370 secs]
14.154: [GC 16632K->248K(50688K), 0.0011950 secs]
14.242: [GC 16632K->248K(50688K), 0.0006620 secs]
14.330: [GC 16632K->248K(50688K), 0.0015440 secs]
14.429: [GC 16632K->248K(50688K), 0.0011610 secs]
14.517: [GC 16632K->248K(50688K), 0.0011260 secs]
14.611: [GC 16632K->248K(50688K), 0.0010350 secs]
14.707: [GC 16632K->248K(50688K), 0.0016930 secs]
14.796: [GC 16632K->248K(50688K), 0.0012000 secs]
14.885: [GC 16632K->248K(50688K), 0.0010000 secs]
14.972: [GC 16632K->248K(50688K), 0.0008450 secs]
15.065: [GC 16632K->248K(50688K), 0.0006320 secs]
15.152: [GC 16632K->248K(50688K), 0.0005770 secs]
15.244: [GC 16632K->248K(50688K), 0.0006340 secs]
15.336: [GC 16632K->248K(50688K), 0.0007450 secs]
15.422: [GC 16632K->248K(50688K), 0.0006420 secs]
15.511: [GC 16632K->248K(50688K), 0.0011340 secs]
15.599: [GC 16632K->248K(50688K), 0.0011560 secs]
15.686: [GC 16632K->248K(50688K), 0.0006380 secs]
15.777: [GC 16632K->248K(50688K), 0.0006930 secs]
15.870: [GC 16632K->248K(50688K), 0.0005980 secs]
15.956: [GC 16632K->248K(50688K), 0.0006620 secs]
16.049: [GC 16632K->248K(50688K), 0.0006730 secs]
16.145: [GC 16632K->248K(50688K), 0.0010560 secs]
16.240: [GC 16632K->248K(50688K), 0.0009860 secs]
16.329: [GC 16632K->248K(50688K), 0.0011110 secs]
16.416: [GC 16632K->248K(50688K), 0.0010360 secs]
16.503: [GC 16632K->248K(50688K), 0.0011900 secs]
16.590: [GC 16632K->248K(50688K), 0.0007240 secs]
16.677: [GC 16632K->248K(50688K), 0.0013530 secs]
16.764: [GC 16632K->248K(50688K), 0.0019700 secs]
16.855: [GC 16632K->248K(50688K), 0.0007570 secs]
16.947: [GC 16632K->248K(50688K), 0.0012710 secs]
17.044: [GC 16632K->248K(50688K), 0.0010570 secs]
17.141: [GC 16632K->248K(50688K), 0.0011140 secs]
17.228: [GC 16632K->248K(50688K), 0.0010550 secs]
17.323: [GC 16632K->248K(50688K), 0.0009730 secs]
17.410: [GC 16632K->248K(50688K), 0.0012940 secs]
17.499: [GC 16632K->248K(50688K), 0.0010080 secs]
17.586: [GC 16632K->248K(50688K), 0.0011720 secs]
17.674: [GC 16632K->248K(50688K), 0.0009560 secs]
17.767: [GC 16632K->248K(50688K), 0.0012210 secs]
17.859: [GC 16632K->248K(50688K), 0.0011290 secs]
17.947: [GC 16632K->248K(50688K), 0.0011740 secs]
18.040: [GC 16632K->248K(50688K), 0.0011280 secs]
18.135: [GC 16632K->248K(50688K), 0.0010370 secs]
18.222: [GC 16632K->248K(50688K), 0.0007600 secs]
18.310: [GC 16632K->248K(50688K), 0.0014300 secs]
18.408: [GC 16632K->248K(50688K), 0.0010570 secs]
18.500: [GC 16632K->248K(50688K), 0.0008750 secs]
18.592: [GC 16632K->248K(50688K), 0.0007560 secs]
18.681: [GC 16632K->248K(50688K), 0.0006130 secs]
18.768: [GC 16632K->248K(50688K), 0.0007920 secs]
18.860: [GC 16632K->248K(50688K), 0.0012300 secs]
18.948: [GC 16632K->248K(50688K), 0.0014190 secs]
19.039: [GC 16632K->248K(50688K), 0.0010990 secs]
19.135: [GC 16632K->248K(50688K), 0.0010400 secs]
19.222: [GC 16632K->248K(50688K), 0.0007800 secs]
19.309: [GC 16632K->248K(50688K), 0.0006160 secs]
19.398: [GC 16632K->248K(50688K), 0.0007290 secs]
19.494: [GC 16632K->248K(50688K), 0.0015510 secs]
19.582: [GC 16632K->248K(50688K), 0.0012750 secs]
19.670: [GC 16632K->248K(50688K), 0.0011760 secs]
19.757: [GC 16632K->248K(50688K), 0.0010690 secs]
19.853: [GC 16632K->248K(50688K), 0.0010480 secs]
19.954: [GC 16632K->248K(50688K), 0.0016440 secs]
20.043: [GC 16632K->248K(50688K), 0.0009010 secs]
20.132: [GC 16632K->248K(50688K), 0.0006320 secs]
20.219: [GC 16632K->248K(50688K), 0.0007000 secs]
20.306: [GC 16632K->248K(50688K), 0.0006200 secs]
20.396: [GC 16632K->248K(50688K), 0.0006120 secs]
20.485: [GC 16632K->248K(50688K), 0.0009190 secs]
20.575: [GC 16632K->248K(50688K), 0.0011870 secs]
20.665: [GC 16632K->248K(50688K), 0.0009990 secs]
20.756: [GC 16632K->248K(50688K), 0.0011330 secs]
20.844: [GC 16632K->248K(50688K), 0.0012630 secs]
20.932: [GC 16632K->248K(50688K), 0.0013580 secs]
21.020: [GC 16632K->248K(50688K), 0.0011240 secs]
21.108: [GC 16632K->248K(50688K), 0.0006970 secs]
21.200: [GC 16632K->248K(50688K), 0.0009350 secs]
21.287: [GC 16632K->248K(50688K), 0.0007690 secs]
21.373: [GC 16632K->248K(50688K), 0.0025520 secs]
21.466: [GC 16632K->248K(50688K), 0.0006320 secs]
21.574: [GC 16632K->248K(50688K), 0.0009720 secs]
21.664: [GC 16632K->248K(50688K), 0.0010840 secs]
21.753: [GC 16632K->248K(50688K), 0.0011300 secs]
21.840: [GC 16632K->248K(50688K), 0.0010990 secs]
21.928: [GC 16632K->248K(50688K), 0.0007970 secs]
22.025: [GC 16632K->248K(50688K), 0.0009420 secs]
22.122: [GC 16632K->248K(50688K), 0.0006550 secs]
22.208: [GC 16632K->248K(50688K), 0.0006410 secs]
22.295: [GC 16632K->248K(50688K), 0.0005610 secs]
22.389: [GC 16632K->248K(50688K), 0.0006490 secs]
22.481: [GC 16632K->248K(50688K), 0.0010840 secs]
22.578: [GC 16632K->248K(50688K), 0.0013480 secs]
22.673: [GC 16632K->248K(50688K), 0.0011140 secs]
22.769: [GC 16632K->248K(50688K), 0.0006600 secs]
22.865: [GC 16632K->248K(50688K), 0.0007340 secs]
22.960: [GC 16632K->248K(50688K), 0.0006290 secs]
23.060: [GC 16632K->248K(50688K), 0.0013210 secs]
23.147: [GC 16632K->248K(50688K), 0.0011400 secs]
23.240: [GC 16632K->248K(50688K), 0.0010900 secs]
23.327: [GC 16632K->248K(50688K), 0.0011060 secs]
23.414: [GC 16632K->248K(50688K), 0.0010700 secs]
23.502: [GC 16632K->248K(50688K), 0.0013950 secs]
23.589: [GC 16632K->248K(50688K), 0.0010620 secs]
23.677: [GC 16632K->248K(50688K), 0.0012300 secs]
23.765: [GC 16632K->248K(50688K), 0.0009260 secs]
23.861: [GC 16632K->248K(50688K), 0.0007420 secs]
23.958: [GC 16632K->248K(50688K), 0.0006160 secs]
24.045: [GC 16632K->248K(50688K), 0.0006390 secs]
24.137: [GC 16632K->248K(50688K), 0.0010800 secs]
24.224: [GC 16632K->248K(50688K), 0.0007960 secs]
24.315: [GC 16632K->248K(50688K), 0.0006090 secs]
24.405: [GC 16632K->248K(50688K), 0.0007060 secs]
24.498: [GC 16632K->248K(50688K), 0.0007830 secs]
24.589: [GC 16632K->248K(50688K), 0.0008390 secs]
24.680: [GC 16632K->248K(50688K), 0.0015260 secs]
24.773: [GC 16632K->248K(50688K), 0.0010820 secs]
24.880: [GC 16632K->248K(50688K), 0.0009480 secs]
24.980: [GC 16632K->248K(50688K), 0.0008400 secs]
25.069: [GC 16632K->248K(50688K), 0.0006260 secs]
25.159: [GC 16632K->248K(50688K), 0.0006420 secs]
25.248: [GC 16632K->248K(50688K), 0.0011110 secs]
25.337: [GC 16632K->248K(50688K), 0.0012300 secs]
25.433: [GC 16632K->248K(50688K), 0.0010190 secs]
25.520: [GC 16632K->248K(50688K), 0.0010220 secs]
25.607: [GC 16632K->248K(50688K), 0.0011680 secs]
25.696: [GC 16632K->248K(50688K), 0.0010630 secs]
25.784: [GC 16632K->248K(50688K), 0.0014570 secs]
25.873: [GC 16632K->248K(50688K), 0.0010670 secs]
25.964: [GC 16632K->248K(50688K), 0.0011420 secs]
26.056: [GC 16632K->248K(50688K), 0.0011510 secs]
26.169: [GC 16632K->248K(50688K), 0.0007370 secs]
26.260: [GC 16632K->248K(50688K), 0.0010540 secs]
26.351: [GC 16632K->248K(50688K), 0.0012670 secs]
26.439: [GC 16632K->248K(50688K), 0.0012250 secs]
26.528: [GC 16632K->248K(50688K), 0.0007740 secs]
26.622: [GC 16632K->248K(50688K), 0.0006030 secs]
26.709: [GC 16632K->248K(50688K), 0.0006280 secs]
26.801: [GC 16632K->248K(50688K), 0.0006190 secs]
26.889: [GC 16632K->248K(50688K), 0.0006790 secs]
26.983: [GC 16632K->248K(50688K), 0.0007500 secs]
27.072: [GC 16632K->248K(50688K), 0.0008670 secs]
27.163: [GC 16632K->248K(50688K), 0.0015880 secs]
27.281: [GC 16632K->248K(50688K), 0.0012020 secs]
27.372: [GC 16632K->248K(50688K), 0.0012950 secs]
27.469: [GC 16632K->248K(50688K), 0.0010210 secs]
27.558: [GC 16632K->248K(50688K), 0.0011220 secs]
27.648: [GC 16632K->248K(50688K), 0.0007340 secs]
27.747: [GC 16632K->248K(50688K), 0.0011590 secs]
27.845: [GC 16632K->248K(50688K), 0.0011170 secs]
27.933: [GC 16632K->248K(50688K), 0.0008400 secs]
28.020: [GC 16632K->248K(50688K), 0.0007600 secs]
28.107: [GC 16632K->248K(50688K), 0.0006010 secs]
28.194: [GC 16632K->248K(50688K), 0.0008720 secs]
28.289: [GC 16632K->248K(50688K), 0.0008580 secs]
28.385: [GC 16632K->248K(50688K), 0.0007880 secs]
28.481: [GC 16632K->248K(50688K), 0.0010690 secs]
28.570: [GC 16632K->248K(50688K), 0.0010490 secs]
28.678: [GC 16632K->248K(50688K), 0.0012230 secs]
28.766: [GC 16632K->248K(50688K), 0.0006600 secs]
28.853: [GC 16632K->248K(50688K), 0.0006250 secs]
28.940: [GC 16632K->248K(50688K), 0.0006940 secs]
29.026: [GC 16632K->248K(50688K), 0.0004870 secs]
29.113: [GC 16632K->248K(50688K), 0.0009160 secs]
29.204: [GC 16632K->248K(50688K), 0.0009060 secs]
29.314: [GC 16632K->248K(50688K), 0.0008350 secs]
29.401: [GC 16632K->248K(50688K), 0.0010180 secs]
29.492: [GC 16632K->248K(50688K), 0.0010690 secs]
29.580: [GC 16632K->248K(50688K), 0.0007500 secs]
